Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82689;18/10/2018;0000;;35.8;;7.1;6.4;28.4;68.5;2.333333;
82689;18/10/2018;1200;0;;24;;;;;;
82689;19/10/2018;0000;;36.4;;9.6;5.7;28.14;68.25;1.8;
82689;19/10/2018;1200;0;;22.3;;;;;;
82689;20/10/2018;0000;;;;11.4;6.5;29.1;53.5;3.033333;
82689;20/10/2018;1200;0;;22.5;;;;;;
82689;21/10/2018;0000;;36.8;;8.9;6.8;28.82;57.75;3;
82689;21/10/2018;1200;0;;22.5;;;;;;
82689;22/10/2018;0000;;37.5;;7.9;6.6;30.7;46.5;3.566667;
82689;22/10/2018;1200;0;;25.6;;;;;;
82689;23/10/2018;0000;;36.9;;11.2;9.1;29.14;62.5;3.233333;
82689;23/10/2018;1200;0;;23.6;;;;;;
82689;24/10/2018;0000;;36.8;;11;7.5;29.44;60.25;2.266667;
82689;24/10/2018;1200;0;;23.6;;;;;;
82689;25/10/2018;0000;;37.9;;11.3;8.8;29.26;60.25;3.066667;
82689;25/10/2018;1200;0;;23.7;;;;;;
82689;26/10/2018;0000;;37.8;;11.3;7.6;30;63.25;2.166667;
82689;26/10/2018;1200;0;;24.2;;;;;;
82689;27/10/2018;0000;;37;;11.2;7.2;30.4;57.5;3.3;
82689;27/10/2018;1200;0;;26;;;;;;
82689;28/10/2018;0000;;38;;11.1;6.9;30.66;52.25;3.333333;
82689;28/10/2018;1200;0;;24;;;;;;
82689;29/10/2018;0000;;37;;11.3;6.9;29.52;66;1.8;
82689;29/10/2018;1200;0;;22.2;;;;;;
82689;30/10/2018;0000;;36;;7.4;7.4;30.12;66;2.833333;
82689;30/10/2018;1200;0;;26.7;;;;;;
82689;31/10/2018;0000;;36.6;;10.7;5.8;29.98;49.75;3.566667;
82689;31/10/2018;1200;0;;25.5;;;;;;
82689;01/11/2018;0000;;35.6;;11.3;9;28.16;66.75;1.833333;
82689;01/11/2018;1200;0;;23;;;;;;
82689;02/11/2018;0000;;36.9;;11.2;5.7;29.4;67.5;2.2;
82689;02/11/2018;1200;0;;22.8;;;;;;
82689;03/11/2018;0000;;36.9;;11.2;6.7;29.56;65;2.433333;
82689;03/11/2018;1200;0;;23.9;;;;;;
82689;04/11/2018;0000;;37;;11;8.1;30.7;61.75;2.6;
82689;04/11/2018;1200;0;;25.6;;;;;;
82689;05/11/2018;0000;;37.8;;10.7;6.3;30.66;69.5;1.6;
82689;05/11/2018;1200;0;;24.3;;;;;;
82689;06/11/2018;0000;;36;;7.5;6.5;29.42;71;2.566667;
82689;06/11/2018;1200;1.5;;25.7;;;;;;
82689;07/11/2018;0000;;36.6;;11.1;6.3;30.2;55.75;3.466667;
82689;07/11/2018;1200;0.5;;24.6;;;;;;
82689;08/11/2018;0000;;36.8;;10.6;;30.46;48.5;4.933333;
82689;08/11/2018;1200;0;;23.5;;;;;;
82689;09/11/2018;0000;;37.7;;11.6;9.6;29.3;63.5;2.8;
82689;09/11/2018;1200;0;;22.9;;;;;;
82689;10/11/2018;0000;;37.4;;11.1;8.4;30.1;58.25;2.966667;
82689;10/11/2018;1200;0;;25;;;;;;
82689;11/11/2018;0000;;37.2;;11.4;8.2;30.12;60;2.7;
82689;11/11/2018;1200;0;;22.8;;;;;;
82689;12/11/2018;0000;;37.4;;11.3;8.4;29.62;64.25;2.866667;
82689;12/11/2018;1200;0;;23.9;;;;;;
82689;13/11/2018;0000;;37.8;;11.1;7.6;30.2;55.25;3.266667;
82689;13/11/2018;1200;0;;25.2;;;;;;
82689;14/11/2018;0000;;37.4;;10.9;;29.72;63.25;3.033333;
82689;14/11/2018;1200;0;;24.5;;;;;;
82689;15/11/2018;0000;;36.8;;11.2;9.5;29.82;57.25;2.966667;
82689;15/11/2018;1200;0;;24.5;;;;;;
82689;16/11/2018;0000;;36.8;;11;8.5;29.9;54.5;4.366667;
82689;16/11/2018;1200;0;;22.8;;;;;;
82689;17/11/2018;0000;;32.8;;11.5;8.8;30.5;53;3.233333;
82689;17/11/2018;1200;0;;24.2;;;;;;
82689;18/11/2018;0000;;38.2;;11.1;;30.8;45.25;3.233333;
